Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Siloxane,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac/Fa,Ratio_Stab/Fa,O_Percentage,LHSV__ml/h/g_,Temperature__K_,STY_MA+AA_(mmol/h/g),reactant_score
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,1.0,0.0,1.2,623.0,2.13088949410344,-0.18366578166491304
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,0.5,1.0,0.0,1.2,663.0,3.753356231719042,-0.18366578166491304
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.0,2.0,0.0,1.2,633.0,2.139319741550428,-0.18104289505166793
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,1.5,3.0,0.0,1.2,643.0,3.357085553868227,-0.1798506738638292
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,2.0,2.0,0.0,1.6,643.0,1.735801660800266,-0.007186204397181206
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6882405582207655,-0.19415732811789355,-0.6091274051547718,2.0,2.0,0.0,1.6,643.0,3.093893946960023,-0.007186204397181206
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,653.0,1.568635433144139,0.3558548308962515
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,653.0,0.6821794308876921,0.3558548308962515
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,6.0,1.0,100.0,1.061314669241896,653.0,0.950415014073698,0.3558548308962515
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,0.8147204197217046,0.46665007333775615
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6882405582207655,-0.6734772969998087,-0.6091274051547718,10.0,1.0,100.0,1.06535581986919,653.0,0.7069439946984121,0.46665007333775615
